dataset,analysis,predictor,reference_predictor,difference,ci_lower,ci_upper,ci_excludes_zero
test-other,condition_pearson,sdrift_layer_1,lsd_db,0.16712092519518484,0.15394477820437566,0.17949780403033608,True
test-other,condition_pearson,sdrift_layer_2,lsd_db,0.16911585884532931,0.15683358607824754,0.18122005760086998,True
test-other,condition_pearson,sdrift_layer_3,lsd_db,0.1714776864356119,0.15894096059878993,0.18332856345473203,True
test-other,condition_pearson,sdrift_layer_4,lsd_db,0.17380333352454502,0.16076863098194613,0.18604992945101212,True
test-other,condition_pearson,sdrift_layer_5,lsd_db,0.17598302904816243,0.1621713371566503,0.1887956764834535,True
test-other,condition_pearson,sdrift_layer_6,lsd_db,0.17724707487151392,0.1627756765481772,0.19089043860987895,True
test-other,condition_pearson,sdrift_layer_7,lsd_db,0.17883337054718185,0.16390229078663962,0.19308129720877004,True
test-other,condition_pearson,sdrift_layer_8,lsd_db,0.18025362242541965,0.16451212340409738,0.19532675558665352,True
test-other,condition_pearson,sdrift_layer_9,lsd_db,0.18084450840164779,0.16430810078030464,0.1960999897135461,True
test-other,condition_pearson,sdrift_layer_10,lsd_db,0.18797447411228574,0.16999820744043073,0.2046785118474995,True
test-other,condition_pearson,sdrift_layer_11,lsd_db,0.19700298318778842,0.17943754347058744,0.21456613111230868,True
test-other,condition_pearson,sdrift_layer_12,lsd_db,0.18325496272851238,0.1674139470669682,0.19927943419523547,True
test-other,utterance_pooled_spearman,spectral_distortion,lsd_db,-0.0009492349902067709,-0.011368361382048364,0.009677533863603552,False
test-other,utterance_pooled_spearman,bandwidth_loss_hz,lsd_db,0.012490066517455989,-0.019484382460987524,0.04316972378626911,False
test-other,utterance_pooled_spearman,hf_power_loss_db,lsd_db,0.0023299084156237493,-0.0342633038747925,0.03873463445988019,False
test-other,utterance_pooled_spearman,sdrift_conv,lsd_db,0.04356127891700223,0.011070914808447612,0.0741704621329158,True
test-other,utterance_pooled_spearman,sdrift_layer_1,lsd_db,0.04890522370332462,0.018217726020143977,0.07745446746144817,True
test-other,utterance_pooled_spearman,sdrift_layer_2,lsd_db,0.05070317335411878,0.01949040820601584,0.079816640398682,True
test-other,utterance_pooled_spearman,sdrift_layer_3,lsd_db,0.052866744636471896,0.02148146606026909,0.08293745070890605,True
