dataset,analysis,predictor,level,correlation,ci_lower,ci_upper
test-clean,utterance_pooled_spearman,sdrift_layer_10,representation,0.192674803407923,0.15384577008698203,0.22746425423944366
test-clean,within_condition_mean_spearman,sdrift_layer_10,representation,0.051155812137219155,-0.0003919250988177744,0.09889861181412157
test-clean,condition_spearman,sdrift_layer_11,representation,0.7810870121972561,0.3916083916083916,0.9387467475291029
test-clean,condition_pearson,sdrift_layer_11,representation,0.9658306226348973,0.9218881525508743,0.9828176483759492
test-clean,utterance_pooled_spearman,sdrift_layer_11,representation,0.2070473661862996,0.16854808645918812,0.24194816209127062
test-clean,within_condition_mean_spearman,sdrift_layer_11,representation,0.07737500655210257,0.030507409359242826,0.1173334532097283
test-clean,condition_spearman,sdrift_layer_12,representation,0.7810870121972561,0.3922948222694739,0.9422080999150757
test-clean,condition_pearson,sdrift_layer_12,representation,0.9596383223475913,0.912289241712356,0.9794471270493833
test-clean,utterance_pooled_spearman,sdrift_layer_12,representation,0.21020873583132607,0.17039499731714633,0.24722800273322157
test-clean,within_condition_mean_spearman,sdrift_layer_12,representation,0.08778081426166236,0.045011051345097405,0.13068423472069587
test-other,condition_spearman,lsd_db,signal,0.993006993006993,0.9001765118147749,0.9912449526987599
test-other,condition_pearson,lsd_db,signal,0.7857666010970126,0.7606633446308547,0.806919327348878
test-other,utterance_pooled_spearman,lsd_db,signal,0.31542225631878834,0.2707019729572953,0.36541709711869075
test-other,within_condition_mean_spearman,lsd_db,signal,0.0337334758369245,-0.029828574046425357,0.09599794679961081
test-other,condition_spearman,spectral_distortion,signal,0.986013986013986,0.9001765118147749,0.986013986013986
test-other,condition_pearson,spectral_distortion,signal,0.8396816016377164,0.8120640484100944,0.8632789520493601
test-other,utterance_pooled_spearman,spectral_distortion,signal,0.31447302132858157,0.2716705957268166,0.3611825806345086
test-other,within_condition_mean_spearman,spectral_distortion,signal,0.024945866465109778,-0.036389021499844576,0.08478310425445838
test-other,condition_spearman,bandwidth_loss_hz,signal,0.8193785757076022,0.6743558189451947,0.8209056213176606
test-other,condition_pearson,bandwidth_loss_hz,signal,0.8472484976218644,0.8214108193798637,0.8681057609598741
test-other,utterance_pooled_spearman,bandwidth_loss_hz,signal,0.32791232283624433,0.28542834571516584,0.37219556641975665
test-other,within_condition_mean_spearman,bandwidth_loss_hz,signal,-0.007403897766832868,-0.0578189159312784,0.043164121838527754
test-other,condition_spearman,hf_power_loss_db,signal,0.7622377622377622,0.6503496503496503,0.8601398601398601
test-other,condition_pearson,hf_power_loss_db,signal,0.9062639337850332,0.8811415004134757,0.9244442749479662
test-other,utterance_pooled_spearman,hf_power_loss_db,signal,0.3177521647344121,0.2806820876272739,0.35281694440572087
test-other,within_condition_mean_spearman,hf_power_loss_db,signal,0.060999838840645755,0.008415406412043358,0.10915297943111266
test-other,condition_spearman,sdrift_conv,representation,0.965034965034965,0.8951048951048951,0.993006993006993
test-other,condition_pearson,sdrift_conv,representation,0.9558350315659362,0.9408903858669221,0.9653596526456086
test-other,utterance_pooled_spearman,sdrift_conv,representation,0.3589835352357906,0.3092352758892368,0.4071001934503181
test-other,within_condition_mean_spearman,sdrift_conv,representation,0.014571701667006009,-0.03635129375162408,0.05837351940749026
test-other,condition_spearman,sdrift_layer_1,representation,0.972027972027972,0.8951048951048951,0.993006993006993
test-other,condition_pearson,sdrift_layer_1,representation,0.9528875262921974,0.9373405415229139,0.9633644402261371
test-other,utterance_pooled_spearman,sdrift_layer_1,representation,0.36432748002211296,0.31636361892360637,0.4123513564615111
test-other,within_condition_mean_spearman,sdrift_layer_1,representation,0.036533229020433745,-0.020334803753316543,0.08753420894698051
test-other,condition_spearman,sdrift_layer_2,representation,0.972027972027972,0.8951048951048951,0.993006993006993
test-other,condition_pearson,sdrift_layer_2,representation,0.9548824599423419,0.9395135065169893,0.9657801978367242
test-other,utterance_pooled_spearman,sdrift_layer_2,representation,0.3661254296729071,0.3180641925992821,0.41414752941315575
test-other,within_condition_mean_spearman,sdrift_layer_2,representation,0.04263575971322495,-0.010635383949395366,0.09191666584325983
test-other,condition_spearman,sdrift_layer_3,representation,0.972027972027972,0.8951048951048951,0.993006993006993
test-other,condition_pearson,sdrift_layer_3,representation,0.9572442875326245,0.9418329535090436,0.9680242261998594
test-other,utterance_pooled_spearman,sdrift_layer_3,representation,0.36828900095526024,0.3202283033284854,0.41622011852995194
test-other,within_condition_mean_spearman,sdrift_layer_3,representation,0.05581499901258154,0.0037001861993554842,0.10377637860536344
test-other,condition_spearman,sdrift_layer_4,representation,0.972027972027972,0.8951048951048951,0.993006993006993
test-other,condition_pearson,sdrift_layer_4,representation,0.9595699346215576,0.9445915365990671,0.9698665106086126
test-other,utterance_pooled_spearman,sdrift_layer_4,representation,0.3681225306999257,0.3194681240292926,0.417119609315463
test-other,within_condition_mean_spearman,sdrift_layer_4,representation,0.05915031889482158,0.008102313486876562,0.10794887997408043
test-other,condition_spearman,sdrift_layer_5,representation,0.972027972027972,0.8881118881118881,0.993006993006993
test-other,condition_pearson,sdrift_layer_5,representation,0.961749630145175,0.9473971204598218,0.9712314184148856
test-other,utterance_pooled_spearman,sdrift_layer_5,representation,0.3681866026499436,0.31876269062783025,0.41838733990390015
test-other,within_condition_mean_spearman,sdrift_layer_5,representation,0.07270744044168093,0.025507787608163517,0.12153401388232353
test-other,condition_spearman,sdrift_layer_6,representation,0.972027972027972,0.8881118881118881,0.993006993006993
test-other,condition_pearson,sdrift_layer_6,representation,0.9630136759685265,0.9491458932713316,0.9719714886625017
test-other,utterance_pooled_spearman,sdrift_layer_6,representation,0.3695357134158084,0.3200629879574163,0.4185141658261869
test-other,within_condition_mean_spearman,sdrift_layer_6,representation,0.08688616006573051,0.043184840210464835,0.1335161565540657
test-other,condition_spearman,sdrift_layer_7,representation,0.972027972027972,0.8881118881118881,0.993006993006993
test-other,condition_pearson,sdrift_layer_7,representation,0.9645999716441944,0.9511761522228556,0.9730626383167194
test-other,utterance_pooled_spearman,sdrift_layer_7,representation,0.3735855594923261,0.32402013395176193,0.42186946588239777
test-other,within_condition_mean_spearman,sdrift_layer_7,representation,0.10478591758327543,0.06018931796779106,0.14984550066493774
test-other,condition_spearman,sdrift_layer_8,representation,0.972027972027972,0.8881118881118881,0.993006993006993
test-other,condition_pearson,sdrift_layer_8,representation,0.9660202235224322,0.9530921472894731,0.9741977136393066
test-other,utterance_pooled_spearman,sdrift_layer_8,representation,0.3779251833387554,0.32838471383628853,0.42635397665897673
test-other,within_condition_mean_spearman,sdrift_layer_8,representation,0.12404131962965788,0.07943034629745106,0.16809262164777028
test-other,condition_spearman,sdrift_layer_9,representation,0.972027972027972,0.8881118881118881,0.993006993006993
test-other,condition_pearson,sdrift_layer_9,representation,0.9666111094986604,0.9538182695199977,0.9745652449897046
test-other,utterance_pooled_spearman,sdrift_layer_9,representation,0.3818946423527839,0.33324491815495644,0.4306874503941716
test-other,within_condition_mean_spearman,sdrift_layer_9,representation,0.13574862629308224,0.0894705219655653,0.18089027681562098
test-other,condition_spearman,sdrift_layer_10,representation,0.951048951048951,0.8741258741258742,0.993006993006993
test-other,condition_pearson,sdrift_layer_10,representation,0.9737410752092983,0.9624474263445066,0.9803373997308075
test-other,utterance_pooled_spearman,sdrift_layer_10,representation,0.3843144690286898,0.3346507940130313,0.43339519747662214
test-other,within_condition_mean_spearman,sdrift_layer_10,representation,0.1458872815265438,0.10039745766574659,0.19124637562999466
test-other,condition_spearman,sdrift_layer_11,representation,0.972027972027972,0.8951048951048951,0.993006993006993
test-other,condition_pearson,sdrift_layer_11,representation,0.982769584284801,0.9737069755339194,0.9878570375924952
test-other,utterance_pooled_spearman,sdrift_layer_11,representation,0.40900614061944907,0.3583890872189983,0.4564276031017908
test-other,within_condition_mean_spearman,sdrift_layer_11,representation,0.20182247877183948,0.16059248810820084,0.24299072923262519
test-other,condition_spearman,sdrift_layer_12,representation,0.972027972027972,0.8966346548638786,0.993006993006993
test-other,condition_pearson,sdrift_layer_12,representation,0.969021563825525,0.9577492883869023,0.9763779859605157
test-other,utterance_pooled_spearman,sdrift_layer_12,representation,0.41711039705918135,0.3665981167133557,0.46435638509157307
test-other,within_condition_mean_spearman,sdrift_layer_12,representation,0.22677629475707145,0.18302312158509249,0.27207079870824397
