dataset,codec,bitrate,predictor,spearman
test-clean,opus,32k,lsd_db,-0.05722042762154787
test-clean,opus,32k,spectral_distortion,-0.05499031761549373
test-clean,opus,32k,bandwidth_loss_hz,
test-clean,opus,32k,hf_power_loss_db,0.03821907281436354
test-clean,opus,32k,sdrift_conv,-0.021140522075072683
test-clean,opus,32k,sdrift_layer_1,0.020341650507916
test-clean,opus,32k,sdrift_layer_2,0.031967044206150985
test-clean,opus,32k,sdrift_layer_3,0.025527967251304826
test-clean,opus,32k,sdrift_layer_4,0.012530072184396149
test-clean,opus,32k,sdrift_layer_5,-0.0039278798296781235
test-clean,opus,32k,sdrift_layer_6,-0.020130242190363745
test-clean,opus,32k,sdrift_layer_7,-0.022577747663588322
test-clean,opus,32k,sdrift_layer_8,-0.021162200193654036
test-clean,opus,32k,sdrift_layer_9,-0.016149097374427338
test-clean,opus,32k,sdrift_layer_10,-0.024746438366614252
test-clean,opus,32k,sdrift_layer_11,-0.021216497957589023
test-clean,opus,32k,sdrift_layer_12,-0.032877400650115504
test-clean,opus,16k,lsd_db,-0.0425523798517594
test-clean,opus,16k,spectral_distortion,-0.037535953983100855
test-clean,opus,16k,bandwidth_loss_hz,
test-clean,opus,16k,hf_power_loss_db,0.016380122224368597
test-clean,opus,16k,sdrift_conv,-0.007877237377166245
test-clean,opus,16k,sdrift_layer_1,0.04742942953772091
test-clean,opus,16k,sdrift_layer_2,0.04525698730886339
test-clean,opus,16k,sdrift_layer_3,0.03500657190360515
test-clean,opus,16k,sdrift_layer_4,0.040146043428543596
test-clean,opus,16k,sdrift_layer_5,0.04946253460110747
test-clean,opus,16k,sdrift_layer_6,0.05462160412371953
test-clean,opus,16k,sdrift_layer_7,0.04348440108289567
test-clean,opus,16k,sdrift_layer_8,0.043802683539420566
test-clean,opus,16k,sdrift_layer_9,0.04388363898323046
test-clean,opus,16k,sdrift_layer_10,0.04215157185714335
test-clean,opus,16k,sdrift_layer_11,0.024460038215152066
test-clean,opus,16k,sdrift_layer_12,0.027941370374903185
test-clean,opus,12k,lsd_db,-0.03829055735101147
test-clean,opus,12k,spectral_distortion,-0.034363497653256275
test-clean,opus,12k,bandwidth_loss_hz,
test-clean,opus,12k,hf_power_loss_db,-0.035668808748862746
test-clean,opus,12k,sdrift_conv,0.012778049790203432
test-clean,opus,12k,sdrift_layer_1,0.03303435086417993
test-clean,opus,12k,sdrift_layer_2,0.022395846621337572
test-clean,opus,12k,sdrift_layer_3,0.01162484625658293
test-clean,opus,12k,sdrift_layer_4,0.019670649962707468
test-clean,opus,12k,sdrift_layer_5,0.025507437910945657
test-clean,opus,12k,sdrift_layer_6,0.02923394123218451
test-clean,opus,12k,sdrift_layer_7,0.02664183888413969
test-clean,opus,12k,sdrift_layer_8,0.03451835194216643
test-clean,opus,12k,sdrift_layer_9,0.04662480362349775
test-clean,opus,12k,sdrift_layer_10,0.03582042370294349
test-clean,opus,12k,sdrift_layer_11,0.047080774091898266
test-clean,opus,12k,sdrift_layer_12,0.07622084433273493
test-clean,opus,8k,lsd_db,-0.040804915025369363
test-clean,opus,8k,spectral_distortion,-0.0408696092692725
test-clean,opus,8k,bandwidth_loss_hz,0.00849375543386865
test-clean,opus,8k,hf_power_loss_db,0.05325511453071794
test-clean,opus,8k,sdrift_conv,0.017905170669247465
test-clean,opus,8k,sdrift_layer_1,0.025505351992232562
test-clean,opus,8k,sdrift_layer_2,0.035988992415695344
test-clean,opus,8k,sdrift_layer_3,0.07079176711879609
test-clean,opus,8k,sdrift_layer_4,0.07708633914408992
test-clean,opus,8k,sdrift_layer_5,0.06916271853620383
test-clean,opus,8k,sdrift_layer_6,0.06690628736550204
test-clean,opus,8k,sdrift_layer_7,0.0777372563517037
test-clean,opus,8k,sdrift_layer_8,0.08182902282509284
test-clean,opus,8k,sdrift_layer_9,0.0907042997549812
test-clean,opus,8k,sdrift_layer_10,0.11775972714094912
test-clean,opus,8k,sdrift_layer_11,0.23007356405315274
test-clean,opus,8k,sdrift_layer_12,0.24151275277809206
test-clean,opus,6k,lsd_db,0.005513924543965305
test-clean,opus,6k,spectral_distortion,-0.006492179014054595
test-clean,opus,6k,bandwidth_loss_hz,0.014098920550812076
test-clean,opus,6k,hf_power_loss_db,0.07718674729910642
test-clean,opus,6k,sdrift_conv,0.046811146244408616
test-clean,opus,6k,sdrift_layer_1,0.005334141417967378
test-clean,opus,6k,sdrift_layer_2,0.033752056782690845
test-clean,opus,6k,sdrift_layer_3,0.07422600210153264
test-clean,opus,6k,sdrift_layer_4,0.10630831561828573
test-clean,opus,6k,sdrift_layer_5,0.14695243003682265
test-clean,opus,6k,sdrift_layer_6,0.1764261702640247
test-clean,opus,6k,sdrift_layer_7,0.2119442067641357
test-clean,opus,6k,sdrift_layer_8,0.23559739438781502
test-clean,opus,6k,sdrift_layer_9,0.26017048162088585
test-clean,opus,6k,sdrift_layer_10,0.29482284753335575
test-clean,opus,6k,sdrift_layer_11,0.3928859900716371
test-clean,opus,6k,sdrift_layer_12,0.40438168202425795
test-other,mp3,128k,lsd_db,0.014490656838591857
test-other,mp3,128k,spectral_distortion,0.014209589575242277
test-other,mp3,128k,bandwidth_loss_hz,-0.02922586298637813
test-other,mp3,128k,hf_power_loss_db,0.02647555431316072
test-other,mp3,128k,sdrift_conv,-0.04031649612163442
