frequency_hz,mean_distortion_db,median_distortion_db
0.0,3.485596,2.970287
31.25,1.8274553,1.4940411
62.5,1.7350247,1.4829466
93.75,1.6578718,1.5220275
125.0,1.5004959,1.3756957
156.25,1.437774,1.3010092
187.5,1.375645,1.2584279
218.75,1.3585136,1.233152
250.0,1.4736894,1.3768868
281.25,1.492668,1.3791473
312.5,1.5374641,1.449856
343.75,1.5911461,1.5121514
375.0,1.5795704,1.467138
406.25,1.6188245,1.520808
437.5,1.6285582,1.5353708
468.75,1.6423489,1.6072321
500.0,1.7246481,1.7044103
531.25,1.7862941,1.728303
562.5,1.7779496,1.7336556
593.75,1.8983654,1.8307817
625.0,1.9476564,1.9002495
656.25,1.9722866,1.9082663
687.5,2.0165384,1.9267968
718.75,2.145214,2.0733526
750.0,2.2092493,2.122148
781.25,2.1516387,2.0590854
812.5,2.1921022,2.1006227
843.75,2.266561,2.1503017
875.0,2.2957559,2.1914363
906.25,2.3043296,2.2187283
937.5,2.2996411,2.215506
968.75,2.3028822,2.1927023
1000.0,2.3441522,2.3087027
1031.25,2.4330044,2.3634453
1062.5,2.4700115,2.3858213
1093.75,2.551406,2.4844494
1125.0,2.5793095,2.5344405
1156.25,2.5847266,2.4794097
1187.5,2.5851538,2.5527525
1218.75,2.6129594,2.5594087
1250.0,2.6230667,2.5621653
1281.25,2.6876874,2.650824
1312.5,2.7986956,2.7479246
1343.75,2.913668,2.8603978
1375.0,2.8658025,2.8163369
1406.25,2.8131423,2.8072138
1437.5,2.8124335,2.744995
1468.75,2.7981749,2.7578735
1500.0,2.748135,2.6743426
1531.25,2.7220657,2.6534276
1562.5,2.7529638,2.696148
1593.75,2.8819547,2.8187766
1625.0,2.9537818,2.915224
1656.25,2.9510772,2.9054844
1687.5,2.9653769,2.9121065
1718.75,2.9479983,2.9166055
1750.0,2.9904428,2.9560685
1781.25,2.9796612,2.9495564
1812.5,2.9643383,2.972969
1843.75,3.0045624,2.945467
1875.0,3.0522265,2.9876256
1906.25,3.1083944,3.0686958
1937.5,3.202909,3.1829486
1968.75,3.2760744,3.1774063
2000.0,3.3786206,3.3136067
2031.25,3.4347444,3.3749223
2062.5,3.4559858,3.3533356
2093.75,3.447065,3.371221
2125.0,3.4175756,3.3761497
2156.25,3.442044,3.431817
2187.5,3.4625833,3.375358
2218.75,3.497578,3.465953
2250.0,3.5333817,3.446527
2281.25,3.54049,3.5152836
2312.5,3.644719,3.6035151
2343.75,3.8113909,3.716714
2375.0,3.9028826,3.788238
2406.25,3.9156682,3.7771926
2437.5,3.8438616,3.7263865
2468.75,3.7852867,3.698645
2500.0,3.7148776,3.6427345
2531.25,3.678036,3.6051345
2562.5,3.6490014,3.5816278
2593.75,3.6469269,3.5967562
2625.0,3.6448736,3.5933309
2656.25,3.6790988,3.6659205
2687.5,3.6919677,3.7066178
2718.75,3.7714841,3.737939
2750.0,3.812081,3.7231543
2781.25,3.8959491,3.8675628
2812.5,3.9157238,3.8519568
2843.75,4.032468,3.9707146
2875.0,4.094145,3.984719
2906.25,4.087137,4.028204
2937.5,4.1029973,3.979929
2968.75,4.10842,4.0010896
3000.0,4.1433086,3.9963028
3031.25,4.18472,4.058641
3062.5,4.1809916,4.1289463
3093.75,4.240256,4.1942215
3125.0,4.2665043,4.2623124
3156.25,4.293076,4.2189264
3187.5,4.366659,4.3087068
3218.75,4.4241858,4.3125567
3250.0,4.4585133,4.294748
3281.25,4.500896,4.3718414
3312.5,4.5978007,4.496453
3343.75,4.764722,4.6272116
3375.0,5.0467525,4.884207
3406.25,5.0333624,4.8821306
3437.5,4.9620543,4.7602777
3468.75,4.9862814,4.8341274
3500.0,4.900212,4.7445216
3531.25,4.8103824,4.674222
3562.5,4.7745547,4.581686
3593.75,4.7662673,4.5662336
3625.0,4.781193,4.686965
3656.25,4.719732,4.5833125
