frequency_hz,mean_distortion_db,median_distortion_db
0.0,7.4226494,6.207592
31.25,4.035053,2.7372596
62.5,2.7166615,2.2716718
93.75,2.2394626,2.0904932
125.0,1.9853659,1.7179023
156.25,1.8434268,1.5920991
187.5,1.7959231,1.6184646
218.75,1.8986782,1.6785688
250.0,2.0972435,1.8961127
281.25,2.2403452,2.0346615
312.5,2.3061051,2.0911808
343.75,2.332045,2.0828862
375.0,2.3778083,2.1673617
406.25,2.4516773,2.2156353
437.5,2.4918144,2.29079
468.75,2.549544,2.3111444
500.0,2.6326613,2.3635664
531.25,2.7328382,2.4725165
562.5,2.834388,2.5987191
593.75,2.9447846,2.7171655
625.0,2.97909,2.7759702
656.25,3.0523498,2.802405
687.5,3.1710463,2.9274714
718.75,3.2704802,3.0233197
750.0,3.3233972,3.0508108
781.25,3.309552,3.087224
812.5,3.3452036,3.1057687
843.75,3.4357212,3.1820862
875.0,3.4572604,3.2646818
906.25,3.469244,3.2650855
937.5,3.4819708,3.2423067
968.75,3.5293717,3.3081048
1000.0,3.564961,3.2901392
1031.25,3.6392527,3.444658
1062.5,3.6623423,3.442003
1093.75,3.6914792,3.470299
1125.0,3.7004592,3.4695868
1156.25,3.7252994,3.4665298
1187.5,3.7367346,3.466866
1218.75,3.732387,3.5048623
1250.0,3.7621963,3.524469
1281.25,3.8396258,3.642673
1312.5,3.8539386,3.6647978
1343.75,3.813008,3.653217
1375.0,3.7810745,3.5655348
1406.25,3.798366,3.5804691
1437.5,3.7923234,3.565652
1468.75,3.80677,3.6039486
1500.0,3.7967536,3.5807667
1531.25,3.7796936,3.5485659
1562.5,3.808116,3.5880718
1593.75,3.8071268,3.574935
1625.0,3.833662,3.6062472
1656.25,3.8501697,3.6625113
1687.5,3.8728707,3.6123004
1718.75,3.9027445,3.637033
1750.0,3.9455914,3.6953201
1781.25,3.9170556,3.693701
1812.5,3.9290261,3.7540364
1843.75,3.9781044,3.745942
1875.0,3.9909549,3.7798247
1906.25,4.0018873,3.8143864
1937.5,4.048264,3.8260791
1968.75,4.096544,3.8799715
2000.0,4.1632347,3.9449143
2031.25,4.19593,3.9915853
2062.5,4.2023573,4.0151215
2093.75,4.2520113,3.9952648
2125.0,4.210622,4.016385
2156.25,4.2291355,3.9950051
2187.5,4.273526,4.0158854
2218.75,4.3120275,4.089299
2250.0,4.312726,4.091181
2281.25,4.3320546,4.1196556
2312.5,4.3287,4.140068
2343.75,4.3682485,4.1921844
2375.0,4.4009953,4.2176023
2406.25,4.4223003,4.205035
2437.5,4.3964734,4.1983767
2468.75,4.3983765,4.211255
2500.0,4.4245534,4.2009697
2531.25,4.3916373,4.232251
2562.5,4.409273,4.226383
2593.75,4.4395547,4.22994
2625.0,4.428446,4.2365284
2656.25,4.529291,4.32131
2687.5,4.5228677,4.331936
2718.75,4.5624886,4.3226132
2750.0,4.5885367,4.3542767
2781.25,4.6012425,4.3913383
2812.5,4.644972,4.449894
2843.75,4.69436,4.4519777
2875.0,4.705434,4.483508
2906.25,4.7198634,4.525589
2937.5,4.727749,4.53034
2968.75,4.757953,4.5414405
3000.0,4.8177576,4.562481
3031.25,4.861278,4.6276555
3062.5,4.863376,4.66053
3093.75,4.89195,4.6822677
3125.0,4.9016633,4.676155
3156.25,4.909043,4.678371
3187.5,4.962709,4.7017326
3218.75,4.966609,4.7423124
3250.0,4.9805813,4.731594
3281.25,5.032927,4.8576164
3312.5,5.05819,4.8162327
3343.75,5.092023,4.8880053
3375.0,5.091771,4.9078226
3406.25,5.1001287,4.8781176
3437.5,5.10579,4.8527327
3468.75,5.0962205,4.932091
3500.0,5.110199,4.888738
3531.25,5.129279,4.8939652
3562.5,5.177103,4.923752
3593.75,5.149157,4.919221
3625.0,5.181948,5.0069466
3656.25,5.223521,5.026848
3687.5,5.183007,4.9520154
3718.75,5.2258854,4.9990296
3750.0,5.2482057,5.031706
3781.25,5.30019,5.0745525
3812.5,5.3139324,5.1127443
3843.75,5.3169794,5.067518
3875.0,5.3435793,5.123164
3906.25,5.333638,5.1291447
3937.5,5.384871,5.185812
3968.75,5.4612136,5.2124424
4000.0,5.4764795,5.260849
4031.25,5.4721456,5.2444587
4062.5,5.463283,5.2321234
4093.75,5.516168,5.3152146
4125.0,5.541279,5.3594284
4156.25,5.585086,5.4041944
4187.5,5.5920057,5.335373
4218.75,5.615781,5.4142017
4250.0,5.6266026,5.4386663
4281.25,5.6714263,5.433353
4312.5,5.7049503,5.4670258
4343.75,5.6650753,5.477455
4375.0,5.7104583,5.558215
4406.25,5.7364855,5.5773306
4437.5,5.7521977,5.5807686
4468.75,5.7855635,5.61019
4500.0,5.803975,5.6624646
4531.25,5.8348284,5.63145
4562.5,5.847022,5.643198
4593.75,5.8477592,5.658463
4625.0,5.9063716,5.6662145
4656.25,5.896567,5.695206
4687.5,5.91791,5.7287526
4718.75,5.904885,5.6606045
4750.0,5.8972836,5.755446
4781.25,5.914943,5.751192
4812.5,5.9259834,5.757064
4843.75,6.018467,5.794208
4875.0,6.014273,5.8376207
4906.25,6.011485,5.832118
4937.5,5.9917903,5.8283453
4968.75,5.982579,5.8235917
5000.0,5.9976954,5.7873926
5031.25,5.9866724,5.799176
5062.5,5.9893174,5.8676534
5093.75,6.0354023,5.8731227
5125.0,6.022247,5.839699
5156.25,6.0435467,5.889477
5187.5,6.053835,5.851159
5218.75,6.045836,5.8612437
5250.0,6.0545154,5.9192915
5281.25,6.0840473,5.94253
5312.5,6.086541,5.884878
5343.75,6.1318316,5.906412
5375.0,6.1213555,5.9053154
5406.25,6.1087666,5.886086
5437.5,6.164836,5.9213657
5468.75,6.1761956,5.947976
5500.0,6.115311,5.874775
5531.25,6.179413,5.911073
5562.5,6.189856,5.885165
5593.75,6.2145715,5.952093
5625.0,6.2215266,5.9043865
5656.25,6.190347,5.886319
5687.5,6.193154,5.9131064
5718.75,6.2037697,5.941555
5750.0,6.205623,5.8947077
5781.25,6.219264,5.9049
5812.5,6.257102,5.9124002
5843.75,6.3202934,5.9698668
5875.0,6.266687,5.9766693
5906.25,6.3076367,6.0075035
5937.5,6.383157,6.077385
5968.75,6.3846498,6.085236
6000.0,6.3852954,6.0466757
6031.25,6.336361,6.0260067
6062.5,6.379671,6.093354
6093.75,6.3771358,6.0810156
6125.0,6.4117184,6.0818853
6156.25,6.4039216,6.117094
6187.5,6.4270825,6.1459084
6218.75,6.4134617,6.1935835
6250.0,6.397332,6.1503778
6281.25,6.37091,6.1835318
6312.5,6.3797255,6.188961
6343.75,6.452658,6.1938725
6375.0,6.4839077,6.2281027
6406.25,6.4711065,6.2107606
6437.5,6.46902,6.2682343
6468.75,6.506385,6.3029957
6500.0,6.5378656,6.320298
6531.25,6.6118135,6.3935966
6562.5,6.6037683,6.352826
6593.75,6.626172,6.407146
6625.0,6.6592665,6.473263
6656.25,6.69337,6.457122
6687.5,6.717902,6.5255613
6718.75,6.7562428,6.5485096
6750.0,6.804433,6.5988064
6781.25,6.8408465,6.6318264
6812.5,6.8841305,6.6889515
6843.75,7.0027075,6.7810903
6875.0,7.0814204,6.8827734
6906.25,7.172657,6.9034586
6937.5,7.235774,7.0067925
6968.75,7.2986646,7.0225844
7000.0,7.394344,7.133805
7031.25,7.4205656,7.1697993
7062.5,7.503202,7.275298
7093.75,7.5923724,7.3575215
7125.0,7.70425,7.492882
7156.25,7.7524333,7.5161977
7187.5,7.8131127,7.5913334
7218.75,7.9248047,7.7172832
7250.0,7.96744,7.807217
7281.25,8.044187,7.894558
7312.5,8.144578,7.966576
7343.75,8.26441,8.1030245
7375.0,8.3472395,8.146318
7406.25,8.413596,8.224895
7437.5,8.502502,8.411238
7468.75,8.610603,8.523968
7500.0,8.673183,8.600516
