frequency_hz,mean_distortion_db,median_distortion_db
0.0,0.6921064,0.6012672
31.25,0.50133115,0.45717263
62.5,0.5025914,0.46110517
93.75,0.50883615,0.46785438
125.0,0.5037717,0.4651745
156.25,0.5030179,0.4651019
187.5,0.5039017,0.46794683
218.75,0.5017314,0.4616923
250.0,0.50345975,0.469396
281.25,0.50682473,0.46972996
312.5,0.5093559,0.4696715
343.75,0.50914556,0.4701321
375.0,0.50833404,0.47015464
406.25,0.5057552,0.47040516
437.5,0.50692385,0.47161525
468.75,0.5070339,0.4739885
500.0,0.5089796,0.47648793
531.25,0.51116365,0.47359952
562.5,0.51360273,0.47711557
593.75,0.51764655,0.4822083
625.0,0.5212439,0.48702466
656.25,0.5212516,0.48418638
687.5,0.5228828,0.4859288
718.75,0.5284118,0.48930255
750.0,0.53420484,0.4930857
781.25,0.529334,0.4919415
812.5,0.53118443,0.4920889
843.75,0.53393286,0.49805146
875.0,0.53001344,0.5016583
906.25,0.5303993,0.4931686
937.5,0.5320258,0.50135887
968.75,0.5369773,0.49790984
1000.0,0.5394512,0.5020687
1031.25,0.5427006,0.5099751
1062.5,0.5422657,0.5113858
1093.75,0.5505557,0.5172231
1125.0,0.547364,0.511744
1156.25,0.55296,0.5198302
1187.5,0.55219376,0.5178788
1218.75,0.5510756,0.51299715
1250.0,0.55423087,0.51573336
1281.25,0.5564,0.5172254
1312.5,0.5536266,0.5225185
1343.75,0.54868466,0.50970155
1375.0,0.54812324,0.51419187
1406.25,0.5515541,0.5189754
1437.5,0.54789513,0.5117602
1468.75,0.5448912,0.50950944
1500.0,0.5451717,0.5047419
1531.25,0.5416385,0.50612426
1562.5,0.5451797,0.5104932
1593.75,0.53908896,0.5037857
1625.0,0.5385504,0.5053705
1656.25,0.54094726,0.5073415
1687.5,0.5442692,0.5182322
1718.75,0.5429993,0.5068813
1750.0,0.5408913,0.5051527
1781.25,0.5442145,0.514635
1812.5,0.5426936,0.5097257
1843.75,0.54673463,0.51399267
1875.0,0.5445306,0.5150675
1906.25,0.5449244,0.5102558
1937.5,0.5441615,0.5117956
1968.75,0.5495086,0.51613617
2000.0,0.5497342,0.51715136
2031.25,0.5507098,0.5225216
2062.5,0.5558619,0.52409726
2093.75,0.55317134,0.5247118
2125.0,0.55484533,0.526024
2156.25,0.5527572,0.5204737
2187.5,0.5581943,0.5247421
2218.75,0.5594824,0.5295156
2250.0,0.55912024,0.5271056
2281.25,0.5633023,0.52805674
2312.5,0.56073534,0.52956736
2343.75,0.5672406,0.5341971
2375.0,0.5637045,0.5357136
2406.25,0.56259483,0.5325191
2437.5,0.56250924,0.5283458
2468.75,0.55733514,0.52698004
2500.0,0.55421466,0.5207899
2531.25,0.5611361,0.529241
2562.5,0.56343836,0.5314572
2593.75,0.5573762,0.53030014
2625.0,0.55510694,0.52673614
2656.25,0.5548736,0.53064275
2687.5,0.5556944,0.52986515
2718.75,0.56253165,0.5329597
2750.0,0.5685394,0.54179174
2781.25,0.5655486,0.5343075
2812.5,0.56939393,0.53918064
2843.75,0.5664761,0.5432707
2875.0,0.5651734,0.5393573
2906.25,0.56682545,0.5361277
2937.5,0.57135427,0.540944
2968.75,0.5718415,0.53668284
3000.0,0.57580787,0.54186606
3031.25,0.5784334,0.5505886
3062.5,0.5833756,0.5467069
3093.75,0.57893497,0.54692686
3125.0,0.58195364,0.54524565
3156.25,0.5869508,0.5521419
3187.5,0.59134984,0.56240404
3218.75,0.59228605,0.5589871
3250.0,0.5917393,0.5599704
3281.25,0.5914281,0.56227803
3312.5,0.5853671,0.5539301
3343.75,0.5860025,0.5551822
3375.0,0.5900769,0.55412525
3406.25,0.59121203,0.5572131
3437.5,0.5965302,0.5623113
3468.75,0.5977577,0.5600026
3500.0,0.5942843,0.5513027
3531.25,0.5936348,0.5505228
3562.5,0.59156805,0.55753624
3593.75,0.5960201,0.56204975
3625.0,0.5976697,0.5548681
3656.25,0.5933705,0.5526303
3687.5,0.5918037,0.5510651
3718.75,0.59176356,0.5498393
3750.0,0.59456086,0.5537757
3781.25,0.6027056,0.56295526
3812.5,0.60547376,0.5656848
3843.75,0.6114658,0.5744081
3875.0,0.6077412,0.5779067
3906.25,0.61143816,0.5775233
3937.5,0.6092383,0.5659909
3968.75,0.6137154,0.5765869
4000.0,0.60918957,0.56810516
4031.25,0.61261535,0.58284825
4062.5,0.6107633,0.5689649
4093.75,0.6146106,0.5871106
4125.0,0.61964095,0.5890967
4156.25,0.61867326,0.59110606
4187.5,0.625558,0.5914936
4218.75,0.63786006,0.61048293
4250.0,0.63571745,0.6062361
4281.25,0.64391863,0.6146678
4312.5,0.6447271,0.6135803
4343.75,0.6485889,0.62029946
4375.0,0.65370935,0.62906355
4406.25,0.65204424,0.62490296
4437.5,0.6515465,0.6264181
4468.75,0.65737134,0.6288632
4500.0,0.6663029,0.63476974
4531.25,0.6759586,0.64827675
4562.5,0.6794561,0.6518881
4593.75,0.68182737,0.6539079
4625.0,0.6832237,0.64175105
4656.25,0.6907856,0.6487533
4687.5,0.6852118,0.6517168
4718.75,0.6776644,0.6408248
4750.0,0.68253654,0.6522316
4781.25,0.6860009,0.65060824
4812.5,0.69226646,0.653648
4843.75,0.6966419,0.656251
4875.0,0.69698685,0.6554046
4906.25,0.7036836,0.66585517
4937.5,0.69583213,0.6567451
4968.75,0.69627166,0.6684074
5000.0,0.70626396,0.6620933
5031.25,0.7219955,0.68052244
5062.5,0.7284451,0.71495336
5093.75,0.7317581,0.7098325
5125.0,0.72800064,0.71751165
5156.25,0.7316513,0.71618545
5187.5,0.73681116,0.7178033
5218.75,0.7358398,0.718621
5250.0,0.7376413,0.72423327
5281.25,0.7367766,0.70772505
5312.5,0.74602056,0.7115667
5343.75,0.7572487,0.7310772
5375.0,0.7592836,0.72599494
5406.25,0.76287407,0.7338711
5437.5,0.76810735,0.7344725
5468.75,0.7722026,0.73518693
5500.0,0.7813385,0.7322808
5531.25,0.78474134,0.7403896
5562.5,0.7783762,0.7277893
5593.75,0.7806838,0.7083727
5625.0,0.77674806,0.72452825
5656.25,0.77828795,0.72608066
5687.5,0.7883242,0.7383107
5718.75,0.793526,0.7381841
5750.0,0.7950823,0.7350241
5781.25,0.8054531,0.7482449
5812.5,0.81330466,0.73260343
5843.75,0.8216117,0.7273604
5875.0,0.8228611,0.75413597
5906.25,0.8316236,0.7352463
5937.5,0.8393563,0.7529198
5968.75,0.8424288,0.75348365
6000.0,0.84762406,0.73827016
6031.25,0.83895224,0.7371818
6062.5,0.8447133,0.75394416
6093.75,0.83751124,0.7642727
6125.0,0.84898084,0.76798487
6156.25,0.84882617,0.74541324
6187.5,0.8334324,0.7489805
6218.75,0.8104648,0.717664
6250.0,0.8178223,0.7377328
6281.25,0.80849326,0.7417761
6312.5,0.81583786,0.76025224
6343.75,0.81464034,0.74235135
6375.0,0.8175027,0.7546166
6406.25,0.8217108,0.7577168
6437.5,0.8211269,0.7672723
6468.75,0.81624484,0.742293
6500.0,0.81274533,0.7454634
6531.25,0.7967968,0.7451554
6562.5,0.813114,0.75077486
6593.75,0.8207048,0.75695956
6625.0,0.83020294,0.7530304
6656.25,0.82507676,0.74111915
6687.5,0.82686687,0.73972344
6718.75,0.8401506,0.7638488
6750.0,0.84831375,0.7640979
6781.25,0.8604807,0.77549887
6812.5,0.8726471,0.7746009
