frequency_hz,mean_distortion_db,median_distortion_db
0.0,6.5235295,5.2120833
31.25,3.1830463,1.7964556
62.5,1.6879828,1.1442304
93.75,1.1498977,0.9678674
125.0,0.9689326,0.8060978
156.25,0.8915805,0.7509265
187.5,0.8833875,0.7516509
218.75,0.9279783,0.7549039
250.0,1.0200957,0.8763603
281.25,1.0811341,0.9541455
312.5,1.1189636,0.9585701
343.75,1.1415942,0.9471874
375.0,1.1645308,1.0229716
406.25,1.2131873,1.0710211
437.5,1.2333872,1.0817097
468.75,1.275169,1.1200054
500.0,1.3235724,1.1088228
531.25,1.3655577,1.18783
562.5,1.4139389,1.2474718
593.75,1.4891922,1.3581505
625.0,1.5268518,1.3627648
656.25,1.5767442,1.414248
687.5,1.6092231,1.4446597
718.75,1.6757989,1.4916168
750.0,1.7180065,1.5272017
781.25,1.6912014,1.5409181
812.5,1.7182559,1.5403156
843.75,1.7929416,1.5993313
875.0,1.7900336,1.6387134
906.25,1.7992487,1.6590694
937.5,1.8193479,1.6566718
968.75,1.8355875,1.6847422
1000.0,1.862278,1.6847947
1031.25,1.9072496,1.7153066
1062.5,1.9211273,1.7519367
1093.75,1.9323132,1.7846751
1125.0,1.937247,1.753226
1156.25,1.9469175,1.7843307
1187.5,1.9494638,1.7748759
1218.75,1.9743344,1.8208498
1250.0,1.9681505,1.8090141
1281.25,2.035179,1.9175974
1312.5,2.03811,1.921704
1343.75,2.0352044,1.9143279
1375.0,1.9805405,1.8621285
1406.25,1.960621,1.825192
1437.5,1.9911336,1.8638623
1468.75,1.9799829,1.8391755
1500.0,1.9695626,1.8262843
1531.25,1.9757503,1.824992
1562.5,2.002966,1.8536737
1593.75,2.0178223,1.8594588
1625.0,2.023149,1.8494985
1656.25,2.0445952,1.8771621
1687.5,2.069565,1.9196804
1718.75,2.0911944,1.9016999
1750.0,2.1105704,1.9560544
1781.25,2.111808,1.95131
1812.5,2.1239748,1.9673622
1843.75,2.1494074,1.9673305
1875.0,2.141095,1.9720728
1906.25,2.1718993,2.0478778
1937.5,2.2208967,2.0625918
1968.75,2.249014,2.0915034
2000.0,2.2701201,2.1080596
2031.25,2.2963738,2.1563268
2062.5,2.3157225,2.1931572
2093.75,2.3595676,2.2258663
2125.0,2.3644516,2.2524996
2156.25,2.3801746,2.2576146
2187.5,2.410468,2.2670085
2218.75,2.4395938,2.2718031
2250.0,2.4601395,2.3112936
2281.25,2.458323,2.3538008
2312.5,2.480136,2.3811421
2343.75,2.5027175,2.3679938
2375.0,2.5046282,2.3788357
2406.25,2.4985895,2.3967047
2437.5,2.4923737,2.3831568
2468.75,2.4996402,2.3754458
2500.0,2.50462,2.391975
2531.25,2.5275936,2.4305282
2562.5,2.513369,2.406036
2593.75,2.531794,2.383278
2625.0,2.539855,2.4257414
2656.25,2.5759525,2.415197
2687.5,2.609484,2.529858
2718.75,2.648446,2.541336
2750.0,2.6772246,2.5685947
2781.25,2.6865156,2.5778308
2812.5,2.739513,2.5712118
2843.75,2.766673,2.6481926
2875.0,2.758158,2.6430829
2906.25,2.7986963,2.696425
2937.5,2.8250766,2.6831388
2968.75,2.870288,2.7316227
3000.0,2.8885572,2.7173617
3031.25,2.9178662,2.7663505
3062.5,2.9601307,2.8217325
3093.75,2.985892,2.850299
3125.0,2.982567,2.8311548
3156.25,3.0035572,2.884009
3187.5,3.0494714,2.9315517
3218.75,3.0979586,2.9696398
3250.0,3.1045966,2.9808562
3281.25,3.12364,2.9800417
3312.5,3.1688437,3.02776
3343.75,3.2102766,3.0875263
3375.0,3.1717577,3.0008314
3406.25,3.2121472,3.0992508
3437.5,3.2392206,3.0949483
3468.75,3.2437115,3.124575
3500.0,3.2727747,3.1688828
3531.25,3.283998,3.1306581
3562.5,3.2963333,3.165244
3593.75,3.3049295,3.1624508
3625.0,3.3425217,3.2351663
3656.25,3.341503,3.216219
3687.5,3.3212936,3.2036448
3718.75,3.3569806,3.236087
3750.0,3.388503,3.2445502
3781.25,3.4336424,3.3159022
3812.5,3.4317198,3.2565892
3843.75,3.4918215,3.3150015
3875.0,3.493358,3.368924
3906.25,3.520307,3.3800397
3937.5,3.5557892,3.4724102
3968.75,3.5966256,3.484692
