frequency_hz,mean_distortion_db,median_distortion_db
0.0,8.604275,6.9376674
31.25,5.903894,4.296512
62.5,4.692007,3.7627797
93.75,3.957006,3.284442
125.0,3.4199102,3.113933
156.25,3.05337,2.5136528
187.5,2.9166358,2.4736838
218.75,2.9029815,2.4384193
250.0,3.1101844,2.7344427
281.25,3.1353443,2.72653
312.5,3.1263604,2.793318
343.75,3.1627743,2.8900623
375.0,3.1656191,2.8517022
406.25,3.217029,3.032531
437.5,3.2395794,2.9990997
468.75,3.2530813,3.060473
500.0,3.378613,3.1788433
531.25,3.4783378,3.284265
562.5,3.5542736,3.4466987
593.75,3.7263424,3.4224114
625.0,3.8510044,3.5758405
656.25,3.9343748,3.6185427
687.5,4.0868287,3.8332644
718.75,4.20323,3.8967257
750.0,4.316263,3.9519908
781.25,4.3348775,4.0115476
812.5,4.4037576,4.093552
843.75,4.557543,4.134762
875.0,4.7205024,4.3045197
906.25,4.823906,4.501833
937.5,4.8433943,4.481551
968.75,5.0095654,4.6323037
1000.0,5.2362156,4.8146906
1031.25,5.366499,5.065489
1062.5,5.447902,5.0146
1093.75,5.5550575,5.097781
1125.0,5.7101564,5.2682557
1156.25,5.8095675,5.35185
1187.5,5.8292656,5.3863516
1218.75,5.948316,5.5167856
1250.0,6.0042906,5.4895325
1281.25,6.065207,5.6388526
1312.5,6.012534,5.6812477
1343.75,6.1668916,5.7630873
1375.0,6.2577267,5.9034605
1406.25,6.1730137,5.7634053
1437.5,5.9850755,5.7041216
1468.75,5.9458356,5.6351027
1500.0,5.8549557,5.571119
1531.25,5.7715955,5.373287
1562.5,5.781601,5.2962313
1593.75,5.962954,5.6310005
1625.0,6.178783,5.8006916
1656.25,6.3597717,5.789385
1687.5,6.5252733,6.2419243
1718.75,6.7053432,6.3885474
1750.0,6.802517,6.349708
1781.25,6.75919,6.2810163
1812.5,6.7251825,6.245805
1843.75,6.860391,6.3873024
1875.0,7.0098047,6.5296106
1906.25,7.143827,6.6240797
1937.5,7.3141303,6.7719555
1968.75,7.820369,7.3191547
2000.0,8.368601,7.7612934
2031.25,8.637877,8.0094
2062.5,8.633422,8.042175
2093.75,8.882236,8.315226
2125.0,9.1218815,8.512213
2156.25,9.160786,8.416683
2187.5,9.23918,8.598606
2218.75,9.481121,8.880508
2250.0,9.68893,9.114519
2281.25,9.785324,9.336679
2312.5,9.771967,9.397686
2343.75,10.0674925,9.451683
2375.0,10.620701,10.093806
2406.25,10.844366,10.442287
2437.5,10.769977,10.533512
2468.75,10.947251,10.588979
2500.0,10.860583,10.507713
2531.25,10.682487,10.351261
2562.5,10.471099,10.191186
2593.75,10.461177,10.009825
2625.0,10.589043,10.370809
2656.25,10.6082535,10.502741
2687.5,10.663413,10.506865
2718.75,11.047571,10.853071
2750.0,11.427604,11.012713
