frequency_hz,mean_distortion_db,median_distortion_db
0.0,5.346472,4.1412477
31.25,3.1684492,2.1905098
62.5,2.6889617,2.1518798
93.75,2.3875785,2.0312455
125.0,2.081193,1.818058
156.25,1.8907815,1.6136992
187.5,1.791679,1.6071575
218.75,1.7443323,1.5587547
250.0,1.888133,1.7125697
281.25,1.8918575,1.7135184
312.5,1.9440008,1.8776374
343.75,2.0099473,1.9132266
375.0,1.9964072,1.858772
406.25,2.0555332,1.9397632
437.5,2.0543292,1.9656883
468.75,2.0586696,1.9683161
500.0,2.1669614,2.1105452
531.25,2.220406,2.1157568
562.5,2.2398508,2.1343727
593.75,2.3595824,2.2478392
625.0,2.4290671,2.279828
656.25,2.4559412,2.329979
687.5,2.524942,2.39241
718.75,2.6655755,2.589641
750.0,2.7523654,2.6173997
781.25,2.7113268,2.6218233
812.5,2.7466757,2.617317
843.75,2.8124325,2.6445541
875.0,2.867048,2.7122078
906.25,2.8883762,2.7689836
937.5,2.8796246,2.7856512
968.75,2.9055254,2.7318568
1000.0,2.9825592,2.9015355
1031.25,3.070278,2.9695432
1062.5,3.145592,2.9809377
1093.75,3.2162714,3.0657773
1125.0,3.2652504,3.1905184
1156.25,3.2741523,3.192972
1187.5,3.2328277,3.1200204
1218.75,3.2839859,3.1296337
1250.0,3.315261,3.1299489
1281.25,3.3879652,3.188569
1312.5,3.4840782,3.3663769
1343.75,3.586929,3.4594522
1375.0,3.5810153,3.4612126
1406.25,3.5234952,3.4319947
1437.5,3.4601767,3.328888
1468.75,3.4471192,3.3496127
1500.0,3.433898,3.3079913
1531.25,3.3688016,3.2472224
1562.5,3.4196424,3.3276978
1593.75,3.551275,3.4766543
1625.0,3.6121764,3.5061817
1656.25,3.669878,3.6216788
1687.5,3.6883838,3.5994792
1718.75,3.6941178,3.5965672
1750.0,3.6743176,3.5923648
1781.25,3.658457,3.6019382
1812.5,3.628434,3.5561333
1843.75,3.7044156,3.6279483
1875.0,3.7634494,3.7036407
1906.25,3.7978296,3.705336
1937.5,3.8824825,3.8296497
1968.75,4.031605,3.9615145
2000.0,4.237294,4.11713
2031.25,4.3061357,4.1025763
2062.5,4.3202925,4.1167564
2093.75,4.303423,4.1466312
2125.0,4.306594,4.213272
2156.25,4.2711644,4.183131
2187.5,4.3346944,4.224081
2218.75,4.379708,4.2627583
2250.0,4.4465256,4.2984962
2281.25,4.457842,4.3938627
2312.5,4.5042467,4.3558426
2343.75,4.6721783,4.5873575
2375.0,4.926947,4.809514
2406.25,5.1049895,4.9490914
2437.5,4.9452486,4.7898664
2468.75,4.910105,4.7125645
2500.0,4.8131566,4.6945887
2531.25,4.7297015,4.587803
2562.5,4.635576,4.555368
2593.75,4.6335692,4.572765
2625.0,4.6765614,4.6771727
2656.25,4.7099786,4.6716313
2687.5,4.7483635,4.627075
2718.75,4.893367,4.7430506
2750.0,4.9471307,4.826833
2781.25,5.061866,4.9347396
2812.5,5.1864314,5.0299454
2843.75,5.427854,5.2840524
2875.0,5.5228157,5.27734
2906.25,5.535074,5.406654
