frequency_hz,mean_distortion_db,median_distortion_db
0.0,6.7620044,5.434688
31.25,3.2248938,1.9238377
62.5,1.5570112,1.0734638
93.75,0.9345284,0.89077187
125.0,0.6388695,0.56977504
156.25,0.5400578,0.49003857
187.5,0.5401825,0.5266299
218.75,0.51786363,0.4861265
250.0,0.55100954,0.50493675
281.25,0.5717059,0.53615737
312.5,0.57656336,0.5415149
343.75,0.56496865,0.5102949
375.0,0.56426847,0.52720475
406.25,0.5720732,0.5556567
437.5,0.550075,0.5121074
468.75,0.54334545,0.5142027
500.0,0.5648329,0.55424803
531.25,0.59570426,0.5652243
562.5,0.6416879,0.6208912
593.75,0.6467396,0.6168833
625.0,0.6166696,0.6113195
656.25,0.5788382,0.5494654
687.5,0.5971567,0.5809572
718.75,0.6335968,0.61711526
750.0,0.65656203,0.6189447
781.25,0.6522941,0.62458575
812.5,0.6440773,0.6273469
843.75,0.61362684,0.5881828
875.0,0.5915504,0.56852883
906.25,0.59534806,0.5850049
937.5,0.6055217,0.5942497
968.75,0.6372521,0.63122654
1000.0,0.64675087,0.6387832
1031.25,0.6348331,0.6140208
1062.5,0.6185221,0.6091784
1093.75,0.612519,0.59640336
1125.0,0.60467035,0.5876391
1156.25,0.61644477,0.5961416
1187.5,0.642588,0.63088894
1218.75,0.65209997,0.6359254
1250.0,0.6253362,0.61358523
1281.25,0.63696474,0.65002704
1312.5,0.6384493,0.6373845
1343.75,0.61937827,0.6120245
1375.0,0.6299226,0.6169744
1406.25,0.65752715,0.63919246
1437.5,0.6576693,0.64575803
1468.75,0.63542384,0.6170171
1500.0,0.62875104,0.6109899
1531.25,0.6153573,0.6130835
1562.5,0.65353507,0.6413479
1593.75,0.71139306,0.7006086
1625.0,0.7477109,0.73779887
1656.25,0.7379178,0.71168673
1687.5,0.7377679,0.72049546
1718.75,0.72757906,0.72607076
1750.0,0.72463715,0.7074295
1781.25,0.7108773,0.6879462
1812.5,0.715242,0.70773137
1843.75,0.72365165,0.70962477
1875.0,0.71563476,0.70198995
1906.25,0.719962,0.7183807
1937.5,0.74572825,0.733631
1968.75,0.7848627,0.7681322
2000.0,0.8095009,0.8075466
2031.25,0.8042223,0.77999294
2062.5,0.7951278,0.773406
2093.75,0.7733753,0.76045334
2125.0,0.77176684,0.76337594
2156.25,0.7565169,0.75573933
2187.5,0.7629988,0.7454903
2218.75,0.76578903,0.74010974
2250.0,0.7754295,0.7499258
2281.25,0.77951914,0.7632735
2312.5,0.7930227,0.78744817
2343.75,0.8100298,0.8110506
2375.0,0.84513015,0.8441042
2406.25,0.8851185,0.88993067
2437.5,0.8717842,0.86841846
2468.75,0.83896726,0.8529508
2500.0,0.81729245,0.81046474
2531.25,0.80551267,0.79072475
2562.5,0.78502786,0.7855551
2593.75,0.7852464,0.7740878
2625.0,0.78490645,0.76216966
2656.25,0.7831211,0.77593637
2687.5,0.78290194,0.776184
2718.75,0.82630426,0.8168151
2750.0,0.84701973,0.84059495
2781.25,0.8884439,0.88144374
2812.5,0.9115345,0.89227337
2843.75,0.8951217,0.88766754
2875.0,0.8716436,0.86814
2906.25,0.8708196,0.8457296
