frequency_hz,mean_distortion_db,median_distortion_db
0.0,9.788089,9.169816
31.25,6.1166186,5.1090546
62.5,4.898295,4.517049
93.75,4.493624,4.390348
125.0,4.163544,3.8714921
156.25,4.015436,3.8298573
187.5,4.0083857,3.8122501
218.75,4.1300383,3.9366484
250.0,4.477691,4.3093834
281.25,4.68412,4.4904556
312.5,4.753821,4.5291133
343.75,4.8757954,4.6358633
375.0,4.8747697,4.657019
406.25,4.8798923,4.6819735
437.5,4.993132,4.782259
468.75,5.1064987,4.84591
500.0,5.1733947,4.9238434
531.25,5.279493,5.0352864
562.5,5.3350716,5.099737
593.75,5.4556813,5.191368
625.0,5.487207,5.2744894
656.25,5.5042906,5.286186
687.5,5.5725365,5.3330145
718.75,5.6084967,5.349333
750.0,5.735691,5.520132
781.25,5.7121544,5.4624987
812.5,5.7510133,5.534403
843.75,5.828783,5.563648
875.0,5.8236017,5.6002398
906.25,5.8710856,5.643273
937.5,5.8363366,5.601304
968.75,5.844596,5.6127834
1000.0,5.9028845,5.7134438
1031.25,6.0063286,5.771087
1062.5,6.006945,5.724189
1093.75,6.070801,5.840657
1125.0,6.078825,5.8933735
1156.25,6.0931807,5.844118
1187.5,6.161444,5.992982
1218.75,6.175517,5.9779644
1250.0,6.1168385,5.899374
1281.25,6.209032,5.9972343
1312.5,6.2803707,6.1106925
1343.75,6.272644,6.118629
1375.0,6.2699394,6.0242405
1406.25,6.186792,5.9768953
1437.5,6.1585717,5.9597883
1468.75,6.2320733,6.019349
1500.0,6.3151307,6.13641
1531.25,6.323684,6.121641
1562.5,6.3164935,6.1294174
1593.75,6.3390913,6.1282253
1625.0,6.270462,6.004578
1656.25,6.229452,5.970417
1687.5,6.333121,6.087641
1718.75,6.3867183,6.1578407
1750.0,6.3397045,6.0988464
1781.25,6.330124,6.0459642
1812.5,6.2370563,6.0381246
1843.75,6.285679,6.038315
1875.0,6.269355,6.021785
1906.25,6.2579217,6.047839
1937.5,6.315641,6.078671
1968.75,6.3543425,6.111167
2000.0,6.434488,6.1938915
2031.25,6.3729734,6.1448164
2062.5,6.367758,6.150755
2093.75,6.3407707,6.0584784
2125.0,6.3543043,6.125244
2156.25,6.3667603,6.1425967
2187.5,6.422369,6.1489005
2218.75,6.428526,6.1806083
2250.0,6.4461575,6.202398
2281.25,6.43115,6.2251954
2312.5,6.442476,6.2335863
2343.75,6.4508276,6.283181
2375.0,6.5558195,6.306467
2406.25,6.5482874,6.3528066
2437.5,6.4940534,6.2761116
2468.75,6.4488306,6.234919
2500.0,6.4126744,6.1882687
2531.25,6.470406,6.2082734
2562.5,6.498585,6.2536435
2593.75,6.487506,6.234928
2625.0,6.511679,6.27895
2656.25,6.539474,6.3237247
2687.5,6.5582933,6.3218546
2718.75,6.5962334,6.43112
2750.0,6.563655,6.3567915
2781.25,6.597784,6.413765
2812.5,6.6350775,6.3785305
2843.75,6.6753306,6.469558
2875.0,6.668437,6.4832535
2906.25,6.576477,6.408885
2937.5,6.465035,6.253431
2968.75,6.4440374,6.246306
3000.0,6.5623693,6.391265
3031.25,6.6381836,6.400817
3062.5,6.631687,6.372798
3093.75,6.668031,6.461364
3125.0,6.6332607,6.4150476
3156.25,6.6401076,6.3953304
3187.5,6.6348925,6.3988614
3218.75,6.606986,6.368987
3250.0,6.648339,6.394933
3281.25,6.730295,6.5483456
3312.5,6.784919,6.564399
3343.75,6.7826304,6.522444
3375.0,6.7684145,6.534584
3406.25,6.692778,6.481445
3437.5,6.817173,6.5848746
3468.75,6.9202023,6.6893797
3500.0,6.932306,6.6833878
3531.25,7.0113597,6.776602
3562.5,7.1369305,6.904391
3593.75,7.153151,6.968587
3625.0,7.130182,6.92959
3656.25,7.2583666,7.0217752
3687.5,7.298794,7.110291
3718.75,7.4622927,7.2858915
3750.0,7.6236315,7.383686
3781.25,7.7773786,7.5741534
3812.5,7.760016,7.600495
3843.75,7.883659,7.6129613
3875.0,8.108886,7.880826
3906.25,8.288115,8.042286
3937.5,8.499602,8.268299
3968.75,9.007235,8.883318
4000.0,11.387113,11.152509
4031.25,9.6090355,9.356777
4062.5,9.723411,9.426719
4093.75,10.123856,9.933577
4125.0,10.552922,10.317432
4156.25,10.919589,10.748444
4187.5,11.150734,10.907936
4218.75,11.508977,11.2168865
4250.0,11.859078,11.363264
4281.25,12.245813,11.7781315
4312.5,12.604448,12.22455
4343.75,13.131915,12.751781
4375.0,13.541072,13.223396
4406.25,14.02777,13.5973215
4437.5,14.647997,14.16119
4468.75,15.204235,14.584569
4500.0,15.675065,14.820222
4531.25,16.174355,15.294803
4562.5,16.720121,15.620922
4593.75,17.386002,16.368465
4625.0,18.200445,17.129017
4656.25,19.064516,18.0578
4687.5,19.997578,18.941593
4718.75,20.909304,19.646343
4750.0,21.716055,20.537857
4781.25,22.709332,21.548386
4812.5,23.878359,22.742134
4843.75,25.016394,24.24482
4875.0,26.227373,25.453857
4906.25,27.519922,26.900425
4937.5,28.826225,28.32851
4968.75,30.247341,29.86119
5000.0,31.700886,31.20634
5031.25,32.976585,32.47213
5062.5,34.51223,33.97683
5093.75,36.528885,36.020504
5125.0,38.568367,38.10368
5156.25,40.61364,39.90246
5187.5,42.83845,42.09027
5218.75,45.361713,44.66899
5250.0,48.03006,47.42818
5281.25,50.999413,50.32762
5312.5,54.314552,53.61225
5343.75,57.99876,57.50657
5375.0,62.247353,61.647392
5406.25,67.3898,67.056305
5437.5,73.62577,73.64267
5468.75,78.84917,78.541595
5500.0,79.08677,78.74788
5531.25,78.93047,78.48489
5562.5,80.63369,80.15451
5593.75,82.90945,82.409164
5625.0,83.243965,82.90646
5656.25,81.07006,81.164444
5687.5,79.25505,79.26654
5718.75,78.450775,78.6555
5750.0,78.16613,78.16141
5781.25,78.6083,78.606674
5812.5,79.61199,79.5
5843.75,81.42403,81.18299
5875.0,83.83807,83.41025
5906.25,85.425285,84.98944
5937.5,83.732285,83.54875
5968.75,81.35253,81.14561
6000.0,79.70936,79.646805
6031.25,78.39294,78.191605
6062.5,77.655785,77.711365
6093.75,77.34029,77.26669
6125.0,77.5694,77.49249
6156.25,78.37023,78.346954
6187.5,79.88151,80.05343
6218.75,82.12662,82.20978
6250.0,84.744774,84.78888
6281.25,86.9834,87.48453
6312.5,85.136444,85.6494
6343.75,82.59386,82.87799
6375.0,80.725075,81.125084
6406.25,79.455,79.73149
6437.5,78.69881,79.24262
6468.75,78.394775,78.980865
6500.0,78.59501,79.153
6531.25,79.025406,79.55641
6562.5,79.767586,80.482666
6593.75,81.05011,81.90927
6625.0,82.8933,83.85096
6656.25,85.368,86.31569
6687.5,88.05451,88.616394
6718.75,88.483,89.12764
6750.0,85.82611,86.507324
6781.25,83.49863,84.192184
6812.5,81.81613,82.45324
6843.75,80.57477,81.10792
6875.0,79.96282,80.4427
6906.25,79.58787,80.12491
6937.5,79.42808,79.977486
6968.75,79.62195,80.395164
7000.0,80.11578,80.32992
7031.25,80.75714,81.06671
7062.5,81.97204,81.72725
7093.75,84.0316,84.08632
7125.0,86.8547,87.31258
7156.25,88.7807,88.906525
7187.5,86.70076,86.300964
7218.75,83.580246,83.476204
7250.0,81.07649,81.19272
7281.25,79.11379,79.49365
7312.5,77.59072,77.83751
7343.75,76.29678,76.49875
7375.0,75.43174,75.62439
7406.25,74.91014,75.200485
7437.5,74.67045,74.97844
7468.75,74.84573,74.8944
7500.0,75.28241,75.0683
7531.25,76.19501,76.15701
7562.5,77.522995,77.45763
7593.75,79.65646,79.97563
7625.0,82.97687,82.944244
7656.25,85.760735,85.8293
7687.5,85.01197,84.99979
7718.75,81.897606,81.26247
7750.0,78.741745,78.16637
7781.25,75.89875,76.36373
7812.5,74.22681,74.88403
7843.75,74.05872,73.27144
7875.0,75.10605,72.99963
7906.25,76.498985,74.26315
7937.5,77.40121,75.297905
7968.75,77.591995,76.261765
8000.0,77.02487,76.22901
