dataset,dataset_index,speaker_id,chapter_id,utterance_id,codec,bitrate,spectral_distortion,lsd_db,retained_bandwidth_hz,hf_power_change_db,estimated_delay_samples,estimated_delay_ms
test-clean,2475,8463,294828,13,opus,12k,42.021907806396484,6.416496276855469,8000.0,-1.61574902052066,0,0.0
test-clean,2475,8463,294828,13,opus,8k,315.31317138671875,16.703832626342773,4500.0,-18.123242414474817,2,0.125
test-clean,2475,8463,294828,13,opus,6k,317.61614990234375,16.777406692504883,4343.75,-17.0185520260698,2,0.125
test-clean,2450,8463,294825,8,mp3,128k,4.1931962966918945,1.63493812084198,7281.25,-0.4469443734245957,0,0.0
test-clean,2450,8463,294825,8,mp3,64k,9.451217651367188,2.787721633911133,7281.25,-0.4407386711743224,0,0.0
test-clean,2450,8463,294825,8,mp3,32k,49.21604537963867,6.580862045288086,8000.0,-0.13345666781241275,0,0.0
test-clean,2450,8463,294825,8,mp3,24k,159.25148010253906,11.891804695129395,5812.5,-0.22502220335977052,0,0.0
test-clean,2450,8463,294825,8,mp3,16k,280.72467041015625,15.77367877960205,5562.5,-1.4171935122090804,0,0.0
test-clean,2450,8463,294825,8,opus,64k,2.7968170642852783,1.583042025566101,8000.0,0.013018996488825695,0,0.0
test-clean,2450,8463,294825,8,opus,32k,17.562992095947266,4.130196571350098,8000.0,-1.1440908336115476,0,0.0
test-clean,2450,8463,294825,8,opus,16k,35.21797561645508,5.877306938171387,8000.0,-1.4886286586179387,0,0.0
test-clean,2450,8463,294825,8,opus,12k,41.9914665222168,6.427741527557373,8000.0,-0.8382160285349151,0,0.0
test-clean,2450,8463,294825,8,opus,8k,273.69793701171875,15.792051315307617,4531.25,-15.897628524195222,2,0.125
test-clean,2450,8463,294825,8,opus,6k,275.22833251953125,15.865527153015137,4531.25,-13.604258371170857,2,0.125
test-clean,1426,5105,28240,9,mp3,128k,20.507905960083008,3.7861483097076416,7312.5,-0.5401990370902645,0,0.0
test-clean,1426,5105,28240,9,mp3,64k,24.668996810913086,4.347836494445801,7281.25,-0.5522504414737887,0,0.0
test-clean,1426,5105,28240,9,mp3,32k,49.16938400268555,6.52727746963501,7281.25,-0.36665437720928723,0,0.0
test-clean,1426,5105,28240,9,mp3,24k,99.67850494384766,9.08707332611084,5781.25,-0.7271286563697428,0,0.0
test-clean,1426,5105,28240,9,mp3,16k,164.41725158691406,11.882048606872559,5562.5,-1.06074121261068,0,0.0
test-clean,1426,5105,28240,9,opus,64k,3.242673397064209,1.7355875968933105,8000.0,-0.0948931104376986,0,0.0
test-clean,1426,5105,28240,9,opus,32k,20.784069061279297,4.458081245422363,8000.0,-2.3177497084191288,0,0.0
test-clean,1426,5105,28240,9,opus,16k,35.24887466430664,5.8563313484191895,8000.0,-2.625037789748293,0,0.0
test-clean,1426,5105,28240,9,opus,12k,40.665855407714844,6.3072686195373535,8000.0,-1.2103438433693796,0,0.0
test-clean,1426,5105,28240,9,opus,8k,149.5202178955078,11.148849487304688,4656.25,-13.529640999738216,2,0.125
test-clean,1426,5105,28240,9,opus,6k,151.1026153564453,11.276097297668457,4625.0,-11.253105959223625,2,0.125
test-clean,2590,908,157963,27,mp3,128k,12.569917678833008,2.6408088207244873,7281.25,-0.710227302014874,0,0.0
test-clean,2590,908,157963,27,mp3,64k,15.382966995239258,3.143308639526367,7281.25,-0.6524882799005093,0,0.0
test-clean,2590,908,157963,27,mp3,32k,32.486961364746094,5.046950817108154,7281.25,-0.23176813910860936,0,0.0
test-clean,2590,908,157963,27,mp3,24k,63.704444885253906,6.95236873626709,5843.75,-0.47731222099218995,0,0.0
test-clean,2590,908,157963,27,mp3,16k,115.30167388916016,9.434370040893555,5531.25,-2.6691367059741253,0,0.0
test-clean,2590,908,157963,27,opus,64k,2.3539090156555176,1.42799711227417,8000.0,-0.23818714795652657,0,0.0
test-clean,2590,908,157963,27,opus,32k,15.130845069885254,3.7435011863708496,8000.0,-2.3355655899736654,0,0.0
test-clean,2590,908,157963,27,opus,16k,28.415010452270508,5.192198276519775,8000.0,-2.2406840991786723,0,0.0
test-clean,2590,908,157963,27,opus,12k,34.0482063293457,5.708226203918457,8000.0,-1.601987027852887,0,0.0
test-clean,2590,908,157963,27,opus,8k,113.8775634765625,9.722931861877441,4718.75,-15.646129069054403,2,0.125
test-clean,2590,908,157963,27,opus,6k,117.9400634765625,9.980730056762695,4781.25,-13.43567894406216,1,0.0625
test-clean,2285,8224,274381,5,mp3,128k,21.071813583374023,3.604830741882324,7281.25,-0.7393381282964915,0,0.0
test-clean,2285,8224,274381,5,mp3,64k,24.16880226135254,4.03118896484375,7281.25,-0.7536824379351216,0,0.0
test-clean,2285,8224,274381,5,mp3,32k,42.83027267456055,5.771592140197754,7281.25,-0.4502972731936838,0,0.0
test-clean,2285,8224,274381,5,mp3,24k,94.74749755859375,8.226884841918945,5812.5,-2.954780747057006,0,0.0
test-clean,2285,8224,274381,5,mp3,16k,142.1356658935547,10.284773826599121,5562.5,-4.8191273148410225,0,0.0
test-clean,2285,8224,274381,5,opus,64k,2.7716715335845947,1.5536000728607178,8000.0,-0.44065177238863446,0,0.0
test-clean,2285,8224,274381,5,opus,32k,17.246225357055664,3.8860414028167725,8000.0,-3.6390066690407967,0,0.0
test-clean,2285,8224,274381,5,opus,16k,30.661638259887695,5.298089504241943,8000.0,-3.1032875082369293,0,0.0
test-clean,2285,8224,274381,5,opus,12k,35.89725875854492,5.779420375823975,8000.0,-1.387485510923463,0,0.0
test-clean,2285,8224,274381,5,opus,8k,139.91983032226562,10.073927879333496,4437.5,-25.300831943202418,2,0.125
test-clean,2285,8224,274381,5,opus,6k,143.36753845214844,10.334553718566895,4500.0,-23.01743611929858,2,0.125
test-clean,1736,61,70968,55,mp3,128k,28.95793914794922,4.786343574523926,7281.25,-0.5193810792538335,0,0.0
test-clean,1736,61,70968,55,mp3,64k,34.380126953125,5.34900426864624,7281.25,-0.5012538901784351,0,0.0
test-clean,1736,61,70968,55,mp3,32k,68.26956176757812,7.785863876342773,7312.5,-0.19006949340437948,0,0.0
test-clean,1736,61,70968,55,mp3,24k,160.48326110839844,11.757745742797852,5812.5,-0.9923413752346201,0,0.0
test-clean,1736,61,70968,55,mp3,16k,265.57171630859375,15.151982307434082,5562.5,-2.0294676906843505,0,0.0
test-clean,1736,61,70968,55,opus,64k,3.3385238647460938,1.7567795515060425,8000.0,-0.04664830192435239,0,0.0
test-clean,1736,61,70968,55,opus,32k,26.245983123779297,5.073047161102295,8000.0,-2.5174455015263435,0,0.0
test-clean,1736,61,70968,55,opus,16k,43.82951736450195,6.575972557067871,8000.0,-2.8903344194310696,0,0.0
