condition,mean_wer,mean_spectral_distortion,mean_lsd_db,mean_layer_1_drift,mean_layer_6_drift,mean_layer_12_drift,mean_layer_12_raw_drift,delta_wer,wer_percent,delta_wer_percentage_points
encodec_1.5k,0.0995279307631786,78.12179135131836,8.510695244789124,0.458195192694664,0.28181261122226714,0.19803973376750947,0.09941696572303772,0.06785995279307633,9.95279307631786,6.785995279307633
encodec_24k,0.03284815106215578,53.74323554229736,7.040811160087586,0.17856846392154693,0.09102671456336975,0.03804497635364532,0.01588736617565155,0.0011801730920534964,3.284815106215578,0.11801730920534964
encodec_6k,0.03766719118804091,61.11333307647705,7.530514007568359,0.2654912211894989,0.12602870678901673,0.061539582848548886,0.027273878812789917,0.005999213217938629,3.766719118804091,0.5999213217938628
resample_control,0.031864673485444535,2.5308676540404558,1.39197778403759,0.0042259634733200074,0.004329899191856384,0.0024729204177856446,0.0009486472606658935,0.00019669551534225171,3.1864673485444537,0.01966955153422517
wav,0.03166797797010228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1667977970102283,0.0
