codec,bitrate,num_samples,wav_wer,compressed_wer,delta_wer,ci_lower,ci_upper,ci_excludes_zero,dataset,wav_wer_percent,compressed_wer_percent,delta_wer_pp,ci_lower_pp,ci_upper_pp
mp3,128k,500,0.03166797797010228,0.03147128245476003,-0.00019669551534225171,-0.0014652730292077747,0.001173959445037353,False,test-clean,3.1667977970102283,3.147128245476003,-0.01966955153422517,-0.14652730292077748,0.11739594450373529
mp3,64k,500,0.03166797797010228,0.030979543666404406,-0.0006884343036978775,-0.001969861124790702,0.0006798096532970761,False,test-clean,3.1667977970102283,3.0979543666404408,-0.06884343036978775,-0.1969861124790702,0.06798096532970761
mp3,32k,500,0.03166797797010228,0.03274980330448466,0.0010818253343823775,-0.0012625036418374251,0.0035033487892838708,False,test-clean,3.1667977970102283,3.274980330448466,0.10818253343823775,-0.12625036418374253,0.3503348789283871
mp3,24k,500,0.03166797797010228,0.031864673485444535,0.00019669551534225171,-0.0026256928911796186,0.0030881527231892206,False,test-clean,3.1667977970102283,3.1864673485444537,0.01966955153422517,-0.26256928911796185,0.30881527231892203
mp3,16k,500,0.03166797797010228,0.04081431943351692,0.009146341463414635,0.005865657521286663,0.012857142857142859,True,test-clean,3.1667977970102283,4.081431943351692,0.9146341463414636,0.5865657521286662,1.2857142857142858
opus,64k,500,0.03166797797010228,0.031864673485444535,0.00019669551534225171,-0.0007004903432402676,0.0012235294117647032,False,test-clean,3.1667977970102283,3.1864673485444537,0.01966955153422517,-0.07004903432402676,0.12235294117647032
opus,32k,500,0.03166797797010228,0.03127458693941778,-0.00039339103068450343,-0.0018931845356715826,0.001196410767696908,False,test-clean,3.1667977970102283,3.127458693941778,-0.03933910306845034,-0.18931845356715826,0.1196410767696908
opus,16k,500,0.03166797797010228,0.03176632572777341,9.834775767112586e-05,-0.001939765186319553,0.0022406234778373155,False,test-clean,3.1667977970102283,3.176632572777341,0.009834775767112586,-0.1939765186319553,0.22406234778373155
opus,12k,500,0.03166797797010228,0.03491345397324941,0.0032454760031471255,0.0008748055987558324,0.005665149215983812,True,test-clean,3.1667977970102283,3.491345397324941,0.3245476003147125,0.08748055987558324,0.5665149215983812
opus,8k,500,0.03166797797010228,0.04317466561762392,0.011506687647521635,0.008142493638676845,0.01512055578259093,True,test-clean,3.1667977970102283,4.317466561762392,1.1506687647521634,0.8142493638676844,1.512055578259093
mp3,128k,500,0.08262108262108261,0.08501424501424501,0.0023931623931623958,0.0004697592483852153,0.004314868804664723,True,test-other,8.262108262108262,8.5014245014245,0.23931623931623958,0.04697592483852153,0.4314868804664723
mp3,64k,500,0.08262108262108261,0.08535612535612536,0.002735042735042742,0.0006122199093914621,0.004859193815571511,True,test-other,8.262108262108262,8.535612535612536,0.2735042735042742,0.06122199093914621,0.4859193815571511
mp3,32k,500,0.08262108262108261,0.08945868945868946,0.006837606837606841,0.0032971708147202794,0.010420206138860577,True,test-other,8.262108262108262,8.945868945868945,0.6837606837606841,0.32971708147202794,1.0420206138860577
mp3,24k,500,0.08262108262108261,0.09686609686609686,0.014245014245014245,0.00989873705768575,0.019086050823426765,True,test-other,8.262108262108262,9.686609686609685,1.4245014245014245,0.9898737057685749,1.9086050823426763
mp3,16k,500,0.08262108262108261,0.12,0.03737891737891738,0.03067878140032068,0.04429420678400746,True,test-other,8.262108262108262,12.0,3.7378917378917382,3.067878140032068,4.429420678400746
opus,64k,500,0.08262108262108261,0.0833048433048433,0.0006837606837606924,-0.0007166746297181115,0.0021408450704225312,False,test-other,8.262108262108262,8.33048433048433,0.06837606837606924,-0.07166746297181115,0.21408450704225312
opus,32k,500,0.08262108262108261,0.08364672364672365,0.0010256410256410387,-0.0014791216293093545,0.003663003663003664,False,test-other,8.262108262108262,8.364672364672366,0.10256410256410387,-0.14791216293093545,0.3663003663003664
opus,16k,500,0.08262108262108261,0.08900284900284901,0.006381766381766393,0.0030534351145038163,0.009747706422018346,True,test-other,8.262108262108262,8.9002849002849,0.6381766381766394,0.30534351145038163,0.9747706422018345
opus,12k,500,0.08262108262108261,0.09595441595441595,0.013333333333333336,0.00870262223748998,0.018207901125579337,True,test-other,8.262108262108262,9.595441595441596,1.3333333333333335,0.8702622237489979,1.8207901125579338
opus,8k,500,0.08262108262108261,0.14894586894586895,0.06632478632478633,0.05714612918002748,0.07616936894902601,True,test-other,8.262108262108262,14.894586894586896,6.632478632478634,5.714612918002748,7.616936894902601
