dataset,bitrate,bitrate_kbps,average_compression_ratio_mp3,average_compression_ratio_opus,delta_wer_pp_mp3,delta_wer_pp_opus,overall_wer_percent_mp3,overall_wer_percent_opus,opus_minus_mp3_delta_wer_pp
test-clean,64k,64,3.901210680420344,3.5942193922526924,-0.06884343036978,0.01966955153422,3.09795436664044,3.18646734854445,0.08851298190399999
test-clean,32k,32,7.780779853574321,8.150348548495588,0.10818253343823,-0.03933910306845,3.27498033044846,3.1274586939417706,-0.14752163650668002
test-clean,16k,16,15.398055353463034,15.9814982475634,0.91463414634146,0.009834775767112586,4.0814319433516895,3.1766325727773403,-0.9047993705743475
test-other,64k,64,3.888972120154068,3.6392443179240974,0.27350427350427,0.06837606837606,8.53561253561253,8.33048433048433,-0.20512820512820998
test-other,32k,32,7.753920726677046,8.336132524328656,0.68376068376068,0.10256410256410001,8.94586894586894,8.36467236467236,-0.58119658119658
test-other,16k,16,15.326509502613956,16.075393709093834,3.73789173789173,0.63817663817663,12.0,8.9002849002849,-3.0997150997151
