condition,wer_percent,delta_wer_pp,lsd_db,sdrift_layer_1,sdrift_layer_6,sdrift_layer_12,raw_drift_layer_12,substitutions,deletions,insertions
wav,3.1667977970102283,0.0,0.0,0.0,0.0,0.0,0.0,268,18,36
resample_control,3.1864673485444537,0.0196695515342251,1.39197778403759,0.00422596347332,0.0043298991918563,0.0024729204177856,0.0009486472606658,267,19,38
encodec_24k,3.284815106215578,0.1180173092053496,7.040811160087586,0.1785684639215469,0.0910267145633697,0.0380449763536453,0.0158873661756515,277,20,37
encodec_6k,3.766719118804091,0.5999213217938628,7.530514007568359,0.2654912211894989,0.1260287067890167,0.0615395828485488,0.0272738788127899,314,28,41
encodec_1.5k,9.95279307631786,6.785995279307633,8.510695244789124,0.458195192694664,0.2818126112222671,0.1980397337675094,0.0994169657230377,855,81,76
